,level_0,index,D_l,D_s,alpha,ampl_fitted,chi_2_1,chi_2_2,del_t,f_s_fitted,f_s_true,length,m_l,mu_l_b,mu_l_l,mu_s_b,mu_s_l,name,q_fitted,q_fitted_log,q_true,q_true_log,rho,s_<_1,s_>_1,s_fitted,s_fitted_log,s_true,s_true_log,t0_fitted,t0_true,tE_fitted,tE_true,tEp_fitted,tEp_true,tp_fitted,u0_fitted,u0_true,x_c,tEp_true_2,tEp_fitted_2
3063,3063,3063,8.977,33.6542,186.189,-0.058482691,-19164.64989,-19061.16283,2.7802596,0.397937388,0.0994081,38323,0.575,-0.077,-0.076,33.0104,33.7424,cassan_28_72_2023.det.lc.gz,9.41e-05,-4.02627403,0.000227293,-3.643413939,0.00168636,0.969857726,1.031079068,0.969857726,-0.01329197,1.29275,0.111514546,1628.071946,1628.07197,5.365688705,5.3881,0.052058117,0.0812,1628.106361,0.060884453,0.0608937,0.061221342,0.0817388817387,0.052058117
3064,3064,3064,6.225,21.9854,136.282,-0.047255201,-19304.27655,-19237.90113,37.7559546,0.893535942,0.920742,38323,0.7,-3.193,-0.216,21.0161,21.0495,cassan_28_72_333.det.lc.gz,0.008384168,-2.076540043,0.000662418,-3.178867875,0.00322163,0.871936415,1.146872619,0.871936415,-0.059515184,1.85828,0.269111153,135.0724515,135.0712015,29.04787432,29.0654,2.659771545,0.7481,130.8391657,0.233133627,0.233186,0.274936204,0.753907901298,2.659771545
3065,3065,3065,6.338,26.1474,46.6846,-0.416550936,-30262.44418,-19338.98903,9.2857955,0.858255582,0.605223,38323,0.15,1.195,2.051,24.939,24.8423,cassan_28_72_49.det.lc.gz,0.000226136,-3.645630973,0.000534276,-3.272234334,0.00329844,0.959788394,1.041896325,0.959788394,-0.017824506,0.754291,-0.122461074,1603.472719,1603.480008,16.2966406,16.3195,0.24506574,0.3772,1602.507386,0.056858727,0.0570372,0.082107931,0.381036983009,0.24506574
3067,3067,3067,6.883,26.8978,292.063,-0.077602217,-19253.66769,-19217.1184,41.7630955,0.463260751,0.140012,38323,0.35,1.09,-8.396,24.6893,24.7021,cassan_28_75_1842.det.lc.gz,0.007508811,-2.124428803,0.000822214,-3.085015133,0.00151186,0.469854335,2.128319197,0.469854335,-0.328036762,2.28007,0.35794818,1460.30896,1460.625443,27.33532326,25.3879,2.36869865,0.728,1419.61185,0.730718569,0.828297,1.658464862,0.728990779782,2.36869865
3068,3068,3068,9.724,29.9944,214.308,-6.259990465,-21412.2001,-19778.14833,1.36309285,0.153177356,0.527348,38323,0.2,0.004,-0.121,26.8053,27.084,cassan_28_75_3000.det.lc.gz,0.007261295,-2.138985889,0.0898477,-1.046493036,0.00336964,0.960780584,1.040820367,0.960780584,-0.017375782,1.0303,0.0129637,172.708588,173.0336338,5.811619544,3.06313,0.495226905,0.9182,172.8302169,0.077255169,0.448997,0.080039783,0.918219160612,0.495226905
3069,3069,3069,8.008,29.1029,289.599,-0.666112509,-19159.55917,-19084.97563,11.7102726,0.16867001,0.0303071,38323,0.35,1.59,-5.462,25.6941,25.9146,cassan_28_76_811.det.lc.gz,0.035456302,-1.450306562,0.00694971,-2.158033317,0.00144759,0.621847282,1.608111876,0.621847282,-0.206316259,0.612838,-0.212654313,1436.012819,1435.951894,11.44806933,12.1602,2.155653581,1.0137,1446.532232,0.358295479,0.334008,0.986264594,1.01388693042,2.155653581
3071,3071,3071,9.448,27.091,93.7521,1.138281041,-19348.97354,-19285.76362,4.3265187,0.043975662,0.0130941,38323,0.2,-1.231,-12.066,25.509,25.5124,cassan_28_7_1370.det.lc.gz,0.003806276,-2.41949971,0.000204767,-3.688740032,0.000422864,0.970225168,1.030688579,1.030688579,0.013127464,1.24088,0.093729785,499.3875292,499.3897037,10.04126785,9.94602,0.619496272,0.1423,499.9910684,0.006565605,0.00670463,0.060463411,0.142386512967,0.619496272
3073,3073,3073,6.847,25.8534,238.837,4.652686599,-19241.88,-19190.72885,1946.18202,0.500677794,0.175273,38323,0.213,2.254,-3.785,24.6187,24.7284,cassan_28_82_1278.det.lc.gz,0.000606398,-3.2172424,0.000953839,-3.020524924,0.00191594,0.963770582,1.03759133,1.03759133,0.016026334,0.434366,-0.362144176,479.117395,479.5636578,1045.626661,1042.97,25.74870835,32.2114,492.8160042,0.072648952,0.0725988,0.073820747,32.2733045518,25.74870835
3074,3074,3074,6.544,26.6731,314.949,-0.042462911,-19061.3291,-18986.91995,2.89856754,0.892236109,0.836578,38323,0.16,0.242,-2.91,25.2107,25.1747,cassan_28_82_1823.det.lc.gz,0.000714124,-3.146226188,0.00138839,-2.857488523,0.00553113,0.968005595,1.03305188,0.968005595,-0.014122132,1.89129,0.276758126,347.6268676,347.6272827,2.12561473,2.12817,0.056803024,0.0793,347.7168038,0.049404693,0.0496722,0.065046285,0.0801668786003,0.056803024
3075,3075,3075,8.04,24.5061,349.193,-0.286701445,-19678.50892,-19228.48824,204.197976,0.776931836,0.708109,38323,0.4,-3.095,-9.257,23.3565,23.4253,cassan_28_82_316.det.lc.gz,0.000122567,-3.911627628,2.55e-05,-4.5935024,0.00268399,0.915291799,1.092547755,0.915291799,-0.038440429,0.796777,-0.098663211,1411.650878,1411.645428,481.703639,481.599,5.332932824,2.4318,1427.80315,0.174055476,0.174186,0.177255956,2.75413168102,5.332932824
3076,3076,3076,6.69,24.9232,183.884,0.451778321,-19963.94719,-19837.95042,19.20831179,0.034080733,0.0311013,38323,0.25,8.802,7.459,23.718,23.81,cassan_28_82_840.det.lc.gz,0.001544173,-2.811303907,0.0508004,-1.294132868,0.000931795,0.947787103,1.055089268,1.055089268,0.023289205,3.80211,0.580024677,1626.419911,1626.432075,6.76619998,5.42761,0.265884412,1.2233,1627.124221,0.026048285,0.0509176,0.107302165,1.22333643653,0.265884412
3079,3079,3079,9.85,21.1675,182.086,0.012437036,-19330.53776,-19213.59359,6.5423684,0.27137591,0.923118,38323,0.918,-0.633,-13.315,20.685,20.693,cassan_28_83_3018.det.lc.gz,5.63e-05,-4.249555063,1.77e-05,-4.752483351,0.00396213,0.457117775,2.187620031,2.187620031,0.339971891,2.94927,0.469714533,1792.98221,1792.97527,23.30032451,16.7324,0.174817312,0.0704,1791.401433,1.729171857,2.58076,1.730502256,0.0966989038469,0.174817312
3080,3080,3080,6.685,22.1504,332.1,-0.300652758,-19437.57409,-19349.46092,34.3026918,0.175380801,0.148946,38323,0.678,-1.975,-5.468,21.2974,21.3095,cassan_28_84_1896.det.lc.gz,0.005424363,-2.265651215,0.00126555,-2.897720692,0.000666083,0.750554955,1.332347476,0.750554955,-0.124617503,0.607333,-0.21657312,497.9862226,497.8384043,37.8829487,38.0718,2.790089715,1.3544,507.9163827,0.519395558,0.518232,0.58179252,1.35462528223,2.790089715
