,chi_sub,is_in_matts,name
105,"4058    12.0023
Name: chi_sub, dtype: float64",0,cassan_10_69_376.det.lc.gz
106,"4059    29.652947
Name: chi_sub, dtype: float64",0,cassan_10_69_873.det.lc.gz
107,"4060    13.737386
Name: chi_sub, dtype: float64",0,cassan_10_6_3193.det.lc.gz
108,"4062    17.952955
Name: chi_sub, dtype: float64",0,cassan_10_72_1477.det.lc.gz
109,"4063    4.109279
Name: chi_sub, dtype: float64",0,cassan_10_72_2091.det.lc.gz
110,"4064    6.016803
Name: chi_sub, dtype: float64",0,cassan_10_73_1168.det.lc.gz
113,"4070    16.86893
Name: chi_sub, dtype: float64",0,cassan_10_83_1554.det.lc.gz
115,"4072    30.473292
Name: chi_sub, dtype: float64",0,cassan_10_84_1399.det.lc.gz
117,"4074    14.671215
Name: chi_sub, dtype: float64",0,cassan_10_85_2014.det.lc.gz
118,"4075    28.165767
Name: chi_sub, dtype: float64",0,cassan_10_85_24.det.lc.gz
120,"4078    32.361648
Name: chi_sub, dtype: float64",0,cassan_10_88_2024.det.lc.gz
122,"4080    29.260105
Name: chi_sub, dtype: float64",0,cassan_10_88_3031.det.lc.gz
124,"4083    34.459815
Name: chi_sub, dtype: float64",0,cassan_10_8_2913.det.lc.gz
126,"4087    33.269873
Name: chi_sub, dtype: float64",0,cassan_10_97_2042.det.lc.gz
127,"4089    1.096663
Name: chi_sub, dtype: float64",0,cassan_10_99_632.det.lc.gz
132,"4102    7.557189
Name: chi_sub, dtype: float64",0,cassan_11_113_2090.det.lc.gz
134,"4105    1.435803
Name: chi_sub, dtype: float64",0,cassan_11_114_2623.det.lc.gz
135,"4106    27.716938
Name: chi_sub, dtype: float64",0,cassan_11_114_2648.det.lc.gz
136,"4107    10.731628
Name: chi_sub, dtype: float64",0,cassan_11_115_2472.det.lc.gz
137,"4108    13.869888
Name: chi_sub, dtype: float64",0,cassan_11_115_2628.det.lc.gz
139,"4111    37.769589
Name: chi_sub, dtype: float64",0,cassan_11_127_9.det.lc.gz
141,"4117    35.789982
Name: chi_sub, dtype: float64",0,cassan_11_137_2393.det.lc.gz
142,"4119    6.524271
Name: chi_sub, dtype: float64",0,cassan_11_139_208.det.lc.gz
143,"4122    10.700126
Name: chi_sub, dtype: float64",0,cassan_11_150_1051.det.lc.gz
145,"4124    11.343643
Name: chi_sub, dtype: float64",0,cassan_11_17_612.det.lc.gz
146,"4125    7.840862
Name: chi_sub, dtype: float64",0,cassan_11_18_547.det.lc.gz
148,"4133    39.24185
Name: chi_sub, dtype: float64",0,cassan_11_24_564.det.lc.gz
149,"4134    9.589865
Name: chi_sub, dtype: float64",0,cassan_11_32_119.det.lc.gz
150,"4136    2.014485
Name: chi_sub, dtype: float64",0,cassan_11_32_1982.det.lc.gz
151,"4138    35.647712
Name: chi_sub, dtype: float64",0,cassan_11_32_2326.det.lc.gz
152,"4139    25.890038
Name: chi_sub, dtype: float64",0,cassan_11_32_2986.det.lc.gz
153,"4140    37.991881
Name: chi_sub, dtype: float64",0,cassan_11_34_591.det.lc.gz
154,"4141    26.175622
Name: chi_sub, dtype: float64",0,cassan_11_35_1669.det.lc.gz
155,"4143    17.129695
Name: chi_sub, dtype: float64",0,cassan_11_36_1499.det.lc.gz
157,"4145    14.223037
Name: chi_sub, dtype: float64",0,cassan_11_43_1684.det.lc.gz
158,"4146    20.585035
Name: chi_sub, dtype: float64",0,cassan_11_44_3317.det.lc.gz
162,"4153    13.300155
Name: chi_sub, dtype: float64",0,cassan_11_50_2346.det.lc.gz
163,"4154    2.472344
Name: chi_sub, dtype: float64",0,cassan_11_56_3181.det.lc.gz
164,"4155    17.140632
Name: chi_sub, dtype: float64",0,cassan_11_58_191.det.lc.gz
165,"4156    27.628499
Name: chi_sub, dtype: float64",0,cassan_11_58_739.det.lc.gz
166,"4159    26.798708
Name: chi_sub, dtype: float64",0,cassan_11_62_1851.det.lc.gz
167,"4160    30.078233
Name: chi_sub, dtype: float64",0,cassan_11_69_2856.det.lc.gz
170,"4163    0.000118
Name: chi_sub, dtype: float64",0,cassan_11_71_1159.det.lc.gz
171,"4164    10.870875
Name: chi_sub, dtype: float64",0,cassan_11_71_1329.det.lc.gz
