,chi_2_1,chi_2_2,name,q_fitted,q_true,s_fitted,s_true,u0_fitted,u0_true
219,-31276.9250449,-25427.6204592,cassan_38_21_3118.det.lc.gz,5.22543833168e-06,0.00311162,1.05004876576,1.02001,0.0434147554214,0.04738
220,-27223.652267,-24064.1819721,cassan_38_23_979.det.lc.gz,5.32755222842e-05,0.012221,0.997005583353,0.263113,0.00500365169283,0.00913203
221,-19384.3614383,-19220.876238,cassan_38_44_2254.det.lc.gz,0.0031321948208,0.00332204,0.980188226709,1.47114,2.45440966764e-07,0.00848651
222,-24617.3750257,-19907.7878322,cassan_38_4_668.det.lc.gz,0.0249538658378,4.67083e-05,0.635758509729,1.9567,0.928443750283,1.34535
223,-23056.0837334,-20164.3910611,cassan_38_59_918.det.lc.gz,7.40814163793e-06,7.38273e-05,1.33859421885,1.302,0.414506881388,0.363804
224,-21018.3449828,-20048.5843209,cassan_38_89_2806.det.lc.gz,2.59149329089e-08,1.50899e-05,1.00186520143,0.910677,0.00346794404135,0.00345933
225,-19527.5102815,-19172.2107872,cassan_39_10_266.det.lc.gz,3.80567639219e-05,7.76254e-05,1.06871306677,1.0655,0.0844623816529,0.0868403
226,-45485.1858089,-24012.7114982,cassan_39_150_1331.det.lc.gz,5.25195356561e-06,0.025206,1.04488683672,0.55999,0.0814593034632,0.0531165
227,-21216.3399422,-20723.490724,cassan_39_22_1724.det.lc.gz,0.000141969252196,0.000346854,0.912253122886,0.958974,0.17756578558,0.0688326
228,-25362.215012,-19900.1306646,cassan_39_32_779.det.lc.gz,7.86762091211e-07,2.07392e-05,0.957576220488,0.968505,0.0849636382642,0.0866162
229,-20341.774836,-19614.4166887,cassan_39_47_2998.det.lc.gz,0.00332718162547,0.00173287,0.690901774398,0.729744,0.602702669523,0.358105
230,-19788.7793712,-19456.3735546,cassan_39_47_3117.det.lc.gz,7.44193506974e-07,2.45461e-06,0.986293809394,0.992192,0.0264159469375,0.0264555
231,-20142.4096854,-19844.109036,cassan_39_70_2862.det.lc.gz,1.93519972297e-08,0.00272228,1.01485945111,0.557909,0.0257159342815,0.0275434
232,-19904.8806031,-19711.2669399,cassan_39_72_1191.det.lc.gz,1.64615802247e-06,8.89053e-05,1.00230694365,1.36516,0.00152971596129,0.00162041
233,-19715.2637419,-19329.4238562,cassan_39_7_3070.det.lc.gz,1.52537460566e-05,1.01888e-05,2.19095849965,1.67163,1.4376284267,0.827708
