,ampl_fitted,chi_2_1,chi_2_2,del_t,f_s_fitted,f_s_true,name,q_fitted,q_fitted_log,q_true,q_true_log,s_<_1,s_>_1,s_fitted,s_fitted_log,s_true,s_true_log,t0_fitted,t0_true,tE_fitted,tE_true,tEp_fitted,tEp_true,tp_fitted,u0_fitted,u0_true,x_c
374,1.63952057008,-20925.1164316,-20661.4980778,8.63065206,0.00949741879503,0.138912,cassan_12_87_1721.det.lc.gz,4.01315712352e-06,-5.39651383639,0.000189026,-3.72347845572,0.825041799731,1.21205980149,1.21205980149,0.0835240478952,2.03127,0.307767654432,1626.30334809,1626.51090682,24.6204352344,7.53111,0.0493217875105,0.1035,1617.74129339,-0.169836518732,1.02766,0.387018001755
375,-0.0555274735398,-20735.3612276,-20538.0898414,5.4217296,0.884559757612,0.881806,cassan_12_87_519.det.lc.gz,1.67716668715e-05,-4.77542377239,3.31154e-05,-4.47996999475,0.988148901486,1.01199323148,0.988148901486,-0.00517760782025,0.779125,-0.1083928601,1817.0585948,1817.05841839,10.7314671558,10.7574,0.0439488195466,0.0619,1817.20526658,0.019538497957,-0.0195608,0.0238443299967
376,-0.0923985191916,-20782.8207503,-20701.5361222,0.87078901,0.0610242194067,0.0589797,cassan_12_88_3331.det.lc.gz,1.17680877416e-05,-4.92929410222,0.000102923,-3.98748756346,0.916036053284,1.09166008959,0.916036053284,-0.0380874330633,0.942315,-0.0258038956213,543.157771819,543.158876002,7.77929877937,7.98889,0.0266866094947,0.081,543.636017413,0.164512667743,0.161146,0.17562403631
377,0.0226712135319,-20720.1243697,-20684.0561323,0.11124176,0.62663207166,0.628539,cassan_12_89_2764.det.lc.gz,4.84823183566e-05,-4.31441662099,2.66934e-05,-4.5735961056,0.949861177534,1.05278542134,1.05278542134,0.0223398623284,0.96293,-0.0164052826768,508.726834333,508.725983799,7.96264732557,7.94584,0.0554433125848,0.0411,508.180304342,0.0766968102576,0.0768381,0.102924243801
378,0.247440021502,-20687.7429718,-20469.7863112,6.04295565,0.262085151521,0.51029,cassan_12_8_2395.det.lc.gz,0.00477433172737,-2.32108740888,0.0106599,-1.97224686939,0.710943983208,1.40658057965,1.40658057965,0.14816461691,1.97591,0.295767159182,323.18521395,323.145900965,6.63816321032,5.32419,0.45867410438,0.5497,321.838095603,0.665377708745,-0.933291,0.695636596443
379,0.639989858604,-26117.1852917,-23827.1117815,5.3288695,0.0522541416505,0.105088,cassan_12_8_2736.det.lc.gz,1.43995508768e-07,-6.84165105337,8.07132e-05,-4.09305543407,0.925627239305,1.08034850049,1.08034850049,0.0335638734752,0.871726,-0.0596200006036,1798.91226752,1798.73994291,44.794969057,28.8047,0.0169982305064,0.2588,1803.78859326,-0.109947416497,0.204028,0.154721261189
380,-0.431619378208,-20614.6200472,-20551.7158708,11.9487343,0.179550276382,0.181735,cassan_12_96_1558.det.lc.gz,0.000613306054474,-3.21232274799,0.000450803,-3.34601320248,0.984806125889,1.0154282896,0.984806125889,-0.00664925858232,0.562701,-0.249722313042,511.116149236,511.116040349,9.91896664388,9.84245,0.245643375048,0.209,511.002065781,0.0283801222772,-0.0292606,0.0306221637111
381,0.324358312632,-23816.5514891,-20850.6446931,2.47019571,0.583753365053,0.64421,cassan_12_97_1045.det.lc.gz,0.002873929984,-2.54152381655,0.0048205,-2.3169079128,0.931004030107,1.07410920647,1.07410920647,0.0310484390517,1.26654,0.102618910277,1622.15477525,1622.18437672,5.6141026372,5.38169,0.300966695479,0.3736,1622.57483624,0.121986434993,0.130788,0.143105176365
382,0.00239162345209,-22033.5365026,-21578.7710303,11.184446,3.05384422713,0.966757,cassan_12_97_1153.det.lc.gz,8.4314627536e-05,-4.07409707416,0.000768506,-3.11435273746,0.10100892761,9.90011500626,9.90011500626,0.995640239678,0.393076,-0.405523472043,1616.21185567,1616.19542778,4.46263366292,6.1453,0.0409772396848,0.1704,1659.18513681,1.81485481427,-1.14567,9.79910607865
383,-0.234499315809,-21646.6856064,-21196.7939764,1.43495847,0.0355163305369,0.0301818,cassan_12_97_2188.det.lc.gz,5.1723381964e-05,-4.28631308626,0.000105485,-3.97680929279,0.881243428321,1.13476023521,0.881243428321,-0.0549041086439,0.89811,-0.0466704679348,306.809245554,306.775490195,7.61624828448,8.39157,0.0547752729265,0.0862,308.368059766,0.149603279192,-0.130228,0.25351680689
384,-0.0207639687483,-20772.6465566,-20657.6272467,1.253672,0.364776583577,0.367664,cassan_12_97_993.det.lc.gz,1.58676833614e-06,-5.79948647443,4.34375e-06,-5.36213517807,0.948303342387,1.0545148955,0.948303342387,-0.0230527187249,0.96829,-0.0139945532931,524.085533791,524.086765051,15.7517137489,15.6709,0.0198419601779,0.0327,523.628261385,0.102167277257,0.103078,0.106211553113
385,0.0322723139842,-20571.8601748,-20533.3793113,2.31380982,0.137046705645,0.138945,cassan_12_99_1519.det.lc.gz,8.26163629895e-06,-5.08293392783,0.000164787,-3.78307705266,0.976794776981,1.02375649785,1.02375649785,0.010196671273,1.25681,0.0992696275758,516.918059069,516.917673647,5.08664212159,5.04098,0.0146205671356,0.0647,516.887195292,0.0465680931246,0.0473424,0.0469617208693
386,-95.6893356052,-24292.466654,-24124.2382087,101.958816,0.0303976344995,0.0224734,cassan_12_99_2267.det.lc.gz,0.00230403387835,-2.63751113937,0.0266462,-1.57436471672,0.864183884886,1.15716112912,0.864183884886,-0.063393836579,0.910803,-0.0405755475768,1683.31076618,1629.47381258,542.135588239,557.152,26.0226995541,90.9476,1694.19004842,0.292289176732,-0.261764,0.292977244233
387,-0.018591258505,-20472.1993658,-20427.7334607,4.2109398,0.462999374685,0.462962,cassan_12_99_2841.det.lc.gz,1.05621555969e-06,-5.97624743897,2.39452e-06,-5.6207815312,0.989776921179,1.01032866962,0.989776921179,-0.00446267693573,0.912243,-0.0398894604632,1409.45397738,1409.45370913,23.0106670851,23.0106,0.0236486029473,0.0356,1409.47554471,0.0205303648152,0.0205572,0.0205517484458
388,-0.940278174986,-21682.6951773,-20773.1958236,0.837695,0.15545630351,0.146588,cassan_12_9_1859.det.lc.gz,0.000379052382915,-3.42130076882,0.00179952,-2.7448433222,0.940925824849,1.06278303092,0.940925824849,-0.0264446115658,1.06603,0.0277694266897,494.521843903,494.557385445,8.06896895494,8.37695,0.157096916261,0.3554,493.796394159,0.0822561066763,0.0803529,0.121857206067
