,Unnamed: 0,ampl_fitted,chi_2_1,chi_2_2,del_t,f_s_fitted,f_s_true,name,q_fitted,q_fitted_log,q_true,q_true_log,s_<_1,s_>_1,s_fitted,s_fitted_log,s_true,s_true_log,t0_fitted,t0_true,tE_fitted,tE_true,tEp_fitted,tEp_true,tp_fitted,u0_fitted,u0_true,x_c
0,0,-0.186168339931,-20577.1065798,-20449.9128123,8.1097952,0.213272392941,0.0633946,cassan_0_100_1920.det.lc.gz,0.0343241238534,-1.46440053961,0.00657481,-2.18211679297,0.503089331949,1.98771855512,0.503089331949,-0.298354891827,0.648391,-0.188163022012,1399.77590047,1399.61733162,6.75459032711,10.5872,1.2514074725,0.8585,1407.60700159,0.927347961886,0.460375,1.48462922318
1,1,-0.00194574592444,-20761.1841644,-20733.7863174,1.2607749,0.516742578284,0.515964,cassan_0_101_1499.det.lc.gz,3.29009602743e-07,-6.48279142619,3.49934e-06,-5.4560138589,0.92735488697,1.07833582812,0.92735488697,-0.0327540350484,0.959463,-0.0179717684071,1392.56459902,1392.56511033,12.7273653765,12.7351,0.00730033515597,0.0238,1391.57736741,0.129531875669,0.129359,0.150980941147
2,2,0.346355317365,-21855.1701751,-20870.738966,8.5253996,0.402082366791,0.398023,cassan_0_102_1720.det.lc.gz,1.47950189114e-05,-4.82988447538,0.000290035,-3.53754959041,0.989786202265,1.01031919591,1.01031919591,0.00445860459817,1.43565,0.157048575285,518.339358992,518.338984251,11.4436862496,11.5364,0.0440173309109,0.1965,518.180139981,0.0151004952171,0.014872,0.020532993649
3,3,0.0306567304675,-20751.9492508,-20601.9151346,3.4126551,0.182620544561,0.177069,cassan_0_109_194.det.lc.gz,9.46872162228e-07,-6.02370865139,1.50336e-05,-4.82293700924,0.75924341171,1.31710066176,1.31710066176,0.119618967958,1.31774,0.119829729147,332.963899027,332.972574234,15.3617598476,15.5829,0.0149481224143,0.0604,335.861229288,0.525006893411,0.514309,0.557857250051
4,4,0.613674074081,-20959.1549657,-20675.0944634,3.90070465,0.00614423857944,0.0125789,cassan_0_109_2397.det.lc.gz,1.05380244292e-05,-4.97724079898,0.00122988,-2.91013726082,0.76918906832,1.30007047836,1.30007047836,0.113966896563,0.683782,-0.165082335835,517.161711071,517.005910277,10.6734233794,8.04269,0.0346484121921,0.2821,513.117788021,0.371869187454,0.608801,0.530881410041
5,5,1.96904825329,-21908.8042082,-20678.4732321,22.0464008,0.0844978583846,0.0841319,cassan_0_10_3312.det.lc.gz,0.00118650205868,-2.92573150391,0.00279226,-2.55404414504,0.927162594743,1.07855947346,1.07855947346,0.0328440977782,0.757895,-0.120390958061,1614.34892889,1614.38720584,39.8502106819,39.6518,1.37266597849,2.0953,1619.5185311,0.078052676873,0.0769143,0.151396878719
6,6,0.0319427031953,-21205.6677706,-20550.6242852,0.8376021,0.79645794095,0.79741,cassan_0_10_650.det.lc.gz,7.4618475279e-06,-5.12715362939,0.000261596,-3.58236890099,0.956375916609,1.04561395016,1.04561395016,0.0193713687914,1.15211,0.0614939461986,1635.86742037,1635.86794317,3.10301771482,3.10223,0.00847632187968,0.0502,1635.9150743,0.0879066573653,0.0875963,0.0892380335465
7,7,-0.260253205993,-24432.5312936,-22140.8798634,27.1639494,0.488054255078,0.500692,cassan_0_110_1693.det.lc.gz,0.000299011450958,-3.52431217959,4.90045e-05,-4.30976403762,0.808963017615,1.23615045215,0.808963017615,-0.09207133205,0.778238,-0.108887567175,333.851229445,333.83577168,56.9963719718,55.8929,0.985578276138,0.3913,356.881033149,0.138660565445,0.141808,0.427187434538
8,8,0.439524614056,-20607.2172087,-20541.1469284,101.753515,0.713095797464,0.713569,cassan_0_111_1645.det.lc.gz,8.47129910475e-06,-5.07204998391,5.86764e-05,-4.23153653948,0.996768357894,1.00324211948,1.00324211948,0.00140575701128,2.30741,0.363124770471,537.636131846,537.636089623,54.323303778,54.2975,0.158110671301,0.4159,537.634461598,0.00647368856784,0.00669229,0.00647376158171
9,9,0.637472498703,-27207.2144158,-25066.3035926,2.8287168,0.0538987717333,0.0518338,cassan_0_112_1906.det.lc.gz,5.91520530126e-07,-6.22803017755,0.00474554,-2.3237143616,0.988914349804,1.01120991944,1.01120991944,0.00484132116158,0.908136,-0.0418491078372,129.523346492,129.528497458,14.0296701162,14.7329,0.0107902714586,1.0149,129.757821909,0.014757164864,0.0166848,0.0222955696382
10,10,-0.00557222215598,-20695.5035966,-20660.5547154,24.23817,0.474618603167,0.498664,cassan_0_112_536.det.lc.gz,0.000137422959424,-3.8619407031,2.45058e-05,-4.61073111523,0.467997185947,2.13676498498,0.467997185947,-0.329756758318,2.15873,0.334198326983,173.423663405,173.427643552,16.5876391929,16.322,0.194452812341,0.0808,149.11014701,0.797703167048,0.81875,1.66876779903
