,ampl_fitted,chi_2_1,chi_2_2,del_t,f_s_fitted,f_s_true,length,name,q_fitted,q_fitted_log,q_true,q_true_log,s_<_1,s_>_1,s_fitted,s_fitted_log,s_true,s_true_log,t0_fitted,t0_true,tE_fitted,tE_true,tEp_fitted,tEp_true,tp_fitted,u0_fitted,u0_true,x_c
3198,0.296667808341,-19311.1276748,-18939.7410223,8.28022871,0.246064896797,0.203492,38323,cassan_30_150_1058.det.lc.gz,0.00011225966951,-3.94977624067,0.00183506,-2.73634973128,0.981035930914,1.019330657,1.019330657,0.00831508608387,0.544679,-0.263859368549,490.607090856,490.607972592,6.35964430289,6.41381,0.0673821254251,0.2748,490.504816315,0.0347543046058,-0.0343296,0.0382947260865
3199,-0.272629143039,-19281.9858572,-19230.0900638,2.006191,0.0418817119539,0.0294601,38323,cassan_30_151_49.det.lc.gz,5.67754724257e-06,-5.24583924335,2.7341e-05,-4.56318560511,0.938240430895,1.06582488568,0.938240430895,-0.0276858562576,0.88604,-0.0525466715812,549.857862447,551.721842587,13.7401895758,10.5589,0.0327395799522,0.0552,549.71601926,0.127166127369,-0.15054,0.127584454787
3200,0.260062328844,-21092.5770348,-19462.1845036,6.758366,0.835507093825,0.831275,38323,cassan_30_151_648.det.lc.gz,3.96557891426e-06,-5.40169340332,7.7129e-06,-5.11278229936,0.965224165999,1.03602876433,1.03602876433,0.0153718133395,0.972576,-0.0120764516054,354.28243173,354.268182367,146.381818953,146.921,0.291501260978,0.408,363.616001377,0.0307851067963,-0.0306437,0.0708045983299
3201,0.0464117197505,-19144.6953016,-19058.195534,15.641681,0.077096574802,0.0548171,38323,cassan_30_17_1257.det.lc.gz,1.94045860265e-06,-5.71209561798,3.67195e-05,-4.43510324111,0.547319231592,1.82708726878,1.82708726878,0.261759291438,1.90921,0.280853700434,343.392289667,343.395099342,12.5768383249,11.6555,0.0175195791357,0.0706,327.75929342,0.304565190127,0.345075,1.27976803719
3202,0.0483510774677,-23846.9793823,-20406.5293848,0.15977331,0.870431773596,0.859178,38323,cassan_30_17_2929.det.lc.gz,0.00630428512147,-2.20036415341,0.00140102,-2.85355566498,0.809259719776,1.23569723732,1.23569723732,0.0919120757134,1.10134,0.0419214128219,331.017382691,331.014475822,1.33488056629,1.29897,0.105988887529,0.0486,330.479781895,0.140195868217,-0.148973,0.426437517543
3203,-0.534906675601,-26424.3563681,-19867.638286,7.6884596,0.39927331289,0.146149,38323,cassan_30_17_3158.det.lc.gz,1.0199008623e-05,-4.99144204103,9.57975e-05,-4.01864582443,0.928422602842,1.07709570721,0.928422602842,-0.0322542950043,0.901695,-0.0449403385299,344.275602051,344.289206564,49.9384619661,51.6004,0.159482906566,0.505,344.109959085,0.148636098782,-0.144305,0.148673104371
3204,0.12480394824,-20364.0332275,-19331.7224301,9.19916971,0.998469212125,0.993802,38323,cassan_30_18_2268.det.lc.gz,0.000202830161116,-3.69286746437,0.000738233,-3.13180654516,0.981596004924,1.01874905255,1.01874905255,0.00806721784708,0.518182,-0.285517677102,535.229852355,535.229559839,6.51094625872,6.51961,0.0927278901886,0.1771,535.362150959,0.0311041864239,0.0314859,0.0371530476219
3205,-2.07881326764,-20771.8934746,-19857.7765044,32.7955716,0.078211185135,0.0333152,38323,cassan_30_19_1311.det.lc.gz,0.000149447305987,-3.82551190937,0.00622966,-2.20553565545,0.983101354441,1.01718911838,0.983101354441,-0.00740170556012,0.475339,-0.322996551811,157.984742404,157.988090292,21.9865099896,20.1447,0.268782100005,1.59,157.625408595,0.0299143727526,-0.0395413,0.0340877639365
3206,-0.00546162024986,-19314.5269031,-19279.5809491,7.0560464,0.370795352842,0.203747,38323,cassan_30_19_1412.det.lc.gz,2.27755107633e-05,-4.64253187476,8.33088e-06,-5.07930912117,0.546752706156,1.82898043072,0.546752706156,-0.262209058742,0.55428,-0.256270791706,1605.58656669,1605.50855219,17.420268062,17.5088,0.0831359561977,0.0505,1613.39003992,1.20143474056,-1.18321,1.28222772456
3207,-0.0592179249585,-19553.035531,-19261.6307137,21.0986451,0.470869372757,0.467775,38323,cassan_30_20_3228.det.lc.gz,3.47351049338e-05,-4.4592313848,1.58015e-05,-4.80130168451,0.799670837904,1.25051452748,0.799670837904,-0.0970887413821,0.78494,-0.105163539006,1565.43214468,1565.62523603,56.6475512593,57.1779,0.333860814582,0.2273,1583.08765146,0.325760699947,0.320693,0.450843689575
3208,-0.0584837054875,-19431.5720536,-19372.9325428,12.2011722,0.135000314176,0.0584938,38323,cassan_30_21_1396.det.lc.gz,0.000589405285851,-3.22958597367,0.000376061,-3.42474170344,0.618250562474,1.61746719,0.618250562474,-0.208835479853,0.664255,-0.177665167871,544.316188514,544.089823365,22.8554408562,28.1133,0.554876862684,0.5452,542.237070666,0.995067163075,-0.720733,0.999216627526
3209,1.98804586797,-268817.25684,-24071.5641574,12.8872597,1.49829704188,0.812469,38323,cassan_30_21_2931.det.lc.gz,621873.138383,5.793701798,1.21255e-05,-4.91630034404,0.000471225073397,2122.12816448,2122.12816448,3.32677160928,3.02289,0.480422343915,502.705741902,515.579687655,-0.00606621089974,5.18602,4.78374921596,0.0181,515.579016006,0.165055054318,1.03528,2122.12769325
3210,0.102323338627,-19294.2001448,-19174.8262333,0.890251,0.0175661098508,0.0314034,38323,cassan_30_21_701.det.lc.gz,7.92959310182e-07,-6.10074909744,5.20292e-05,-4.28375285176,0.947059466353,1.05589990442,1.05589990442,0.0236227505656,1.02454,0.0105289187549,1820.61119278,1820.61220407,11.2787905215,11.269,-0.0100435670205,0.0813,1821.25920424,0.0924406867035,-0.0925126,0.108840438064
3211,0.0149940532833,-29612.5227203,-19483.7964293,1.7547088,8.63762872316,0.391207,38323,cassan_30_21_980.det.lc.gz,0.000179619884166,-3.74564558802,0.000220714,-3.65617011845,0.323684922669,3.08942409722,3.08942409722,0.48987752968,1.59104,0.20168109829,304.232644162,304.211416394,3.52595685956,7.5634,0.0472556999549,0.1124,302.636961349,-2.7284627258,-0.93424,2.76573917455
